# HELP mq:messagesReceived  
# TYPE mq:messagesReceived gauge
mq:messagesReceived{channelName="ADMIN.TLS.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 2753.0
mq:messagesReceived{channelName="APP01.DEMOA.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:messagesReceived{channelName="APP01.REPLY.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:messagesReceived{channelName="APP01.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:messagesReceived{channelName="MQ.MONITOR.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:messagesReceived{channelName="TO.QMAF01",channelType="ClusterSender",cluster="DEMOA",queueManagerName="QMAP01",} 0.0
mq:messagesReceived{channelName="TO.QMAP01",channelType="ClusterReceiver",cluster="DEMOA",queueManagerName="QMAP01",} 0.0
# HELP mq:maxQueueDepth  
# TYPE mq:maxQueueDepth gauge
mq:maxQueueDepth{cluster="",queueManagerName="QMAP01",queueName="DEAD.LETTER.QUEUE",queueType="Local",usage="Normal",} 9.99999999E8
mq:maxQueueDepth{cluster="",queueManagerName="QMAP01",queueName="IBM",queueType="Local",usage="Normal",} 5000.0
mq:maxQueueDepth{cluster="",queueManagerName="QMAP01",queueName="MICK",queueType="Local",usage="Normal",} 5000.0
mq:maxQueueDepth{cluster="",queueManagerName="QMAP01",queueName="SERVICE.TEST",queueType="Local",usage="Normal",} 5000.0
mq:maxQueueDepth{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY",queueType="Local",usage="Normal",} 5000.0
mq:maxQueueDepth{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY2",queueType="Local",usage="Normal",} 5000.0
mq:maxQueueDepth{cluster="DEMOA",queueManagerName="QMAP01",queueName="SERVICEA.REQ",queueType="Local",usage="Normal",} 5000.0
# HELP mq:enQueued  
# TYPE mq:enQueued gauge
mq:enQueued{cluster="",queueManagerName="QMAP01",queueName="DEAD.LETTER.QUEUE",queueType="Local",usage="Normal",} 0.0
mq:enQueued{cluster="",queueManagerName="QMAP01",queueName="IBM",queueType="Local",usage="Normal",} 0.0
mq:enQueued{cluster="",queueManagerName="QMAP01",queueName="MICK",queueType="Local",usage="Normal",} 0.0
mq:enQueued{cluster="",queueManagerName="QMAP01",queueName="SERVICE.TEST",queueType="Local",usage="Normal",} 0.0
mq:enQueued{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY",queueType="Local",usage="Normal",} 0.0
mq:enQueued{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY2",queueType="Local",usage="Normal",} 0.0
mq:enQueued{cluster="DEMOA",queueManagerName="QMAP01",queueName="SERVICEA.REQ",queueType="Local",usage="Normal",} 0.0
# HELP system_cpu_usage The "recent cpu usage" for the whole system
# TYPE system_cpu_usage gauge
system_cpu_usage 0.442051508188481
# HELP tomcat_servlet_error_total  
# TYPE tomcat_servlet_error_total counter
tomcat_servlet_error_total{name="default",} 0.0
# HELP jvm_buffer_total_capacity_bytes An estimate of the total capacity of the buffers in this pool
# TYPE jvm_buffer_total_capacity_bytes gauge
jvm_buffer_total_capacity_bytes{id="mapped",} 0.0
jvm_buffer_total_capacity_bytes{id="direct",} 93496.0
# HELP jvm_buffer_memory_used_bytes An estimate of the memory that the Java virtual machine is using for this buffer pool
# TYPE jvm_buffer_memory_used_bytes gauge
jvm_buffer_memory_used_bytes{id="mapped",} 0.0
jvm_buffer_memory_used_bytes{id="direct",} 93496.0
# HELP mq:bytesReceived  
# TYPE mq:bytesReceived gauge
mq:bytesReceived{channelName="ADMIN.TLS.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 537128.0
mq:bytesReceived{channelName="APP01.DEMOA.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:bytesReceived{channelName="APP01.REPLY.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:bytesReceived{channelName="APP01.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:bytesReceived{channelName="MQ.MONITOR.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:bytesReceived{channelName="TO.QMAF01",channelType="ClusterSender",cluster="DEMOA",queueManagerName="QMAP01",} 0.0
mq:bytesReceived{channelName="TO.QMAP01",channelType="ClusterReceiver",cluster="DEMOA",queueManagerName="QMAP01",} 0.0
# HELP jvm_memory_max_bytes The maximum amount of memory in bytes that can be used for memory management
# TYPE jvm_memory_max_bytes gauge
jvm_memory_max_bytes{area="nonheap",id="CodeHeap 'non-nmethods'",} 7012352.0
jvm_memory_max_bytes{area="nonheap",id="Metaspace",} -1.0
jvm_memory_max_bytes{area="nonheap",id="Compressed Class Space",} 1.073741824E9
jvm_memory_max_bytes{area="heap",id="G1 Eden Space",} -1.0
jvm_memory_max_bytes{area="heap",id="G1 Old Gen",} 2.12860928E9
jvm_memory_max_bytes{area="heap",id="G1 Survivor Space",} -1.0
jvm_memory_max_bytes{area="nonheap",id="CodeHeap 'non-profiled nmethods'",} 2.44645888E8
# HELP mq:queueDepth  
# TYPE mq:queueDepth gauge
mq:queueDepth{cluster="",queueManagerName="QMAP01",queueName="DEAD.LETTER.QUEUE",queueType="Local",usage="Normal",} 0.0
mq:queueDepth{cluster="",queueManagerName="QMAP01",queueName="IBM",queueType="Local",usage="Normal",} 0.0
mq:queueDepth{cluster="",queueManagerName="QMAP01",queueName="MICK",queueType="Local",usage="Normal",} 0.0
